generateTime,totalInfo,timeZone,type
20210710 17:03:47,"{""avgRestingHeartRate"":68,""lastHeartRate"":61,""lastRestHeartRate"":0,""maxHeartRate"":118,""minHeartRate"":44}","""	-0500""",7
20210714 13:52:35,"{""allSleepTime"":0,""awakeTime"":0,""daySleepTime"":91,""deepSleepPart"":0,""deepSleepTime"":0,""dreamTime"":0,""fallAsleepTime"":0,""goBedTime"":0,""lightSleepTime"":0,""sleepEfficiency"":0,""sleepLatency"":0,""sleepScore"":0,""snoreFreq"":0,""validData"":0.0,""wakeupCnt"":0,""wakeupTime"":0}","""	-0500""",9
20210714 13:52:35,"{""allSleepTime"":0,""awakeTime"":0,""daySleepTime"":54,""deepSleepPart"":0,""deepSleepTime"":0,""dreamTime"":0,""fallAsleepTime"":0,""goBedTime"":0,""lightSleepTime"":0,""sleepEfficiency"":0,""sleepLatency"":0,""sleepScore"":0,""snoreFreq"":0,""validData"":0.0,""wakeupCnt"":0,""wakeupTime"":0}","""	-0500""",9
20210714 13:52:35,"{""allSleepTime"":0,""awakeTime"":0,""daySleepTime"":90,""deepSleepPart"":0,""deepSleepTime"":0,""dreamTime"":0,""fallAsleepTime"":0,""goBedTime"":0,""lightSleepTime"":0,""sleepEfficiency"":0,""sleepLatency"":0,""sleepScore"":0,""snoreFreq"":0,""validData"":0.0,""wakeupCnt"":0,""wakeupTime"":0}","""	-0500""",9
20210714 13:52:35,"{""allSleepTime"":0,""awakeTime"":0,""daySleepTime"":91,""deepSleepPart"":0,""deepSleepTime"":0,""dreamTime"":0,""fallAsleepTime"":0,""goBedTime"":0,""lightSleepTime"":0,""sleepEfficiency"":0,""sleepLatency"":0,""sleepScore"":0,""snoreFreq"":0,""validData"":0.0,""wakeupCnt"":0,""wakeupTime"":0}","""	-0500""",9
20210714 13:52:36,"{""allSleepTime"":552,""awakeTime"":2,""daySleepTime"":0,""deepSleepPart"":74,""deepSleepTime"":176,""dreamTime"":52,""fallAsleepTime"":1625820600000,""goBedTime"":1625813421000,""lightSleepTime"":324,""sleepEfficiency"":6,""sleepLatency"":7505000,""sleepScore"":80,""snoreFreq"":1,""validData"":84.56,""wakeupCnt"":1,""wakeupTime"":1625853840000}","""	-0500""",9
20210714 13:52:38,"{""allSleepTime"":451,""awakeTime"":19,""daySleepTime"":161,""deepSleepPart"":52,""deepSleepTime"":108,""dreamTime"":71,""fallAsleepTime"":1625906580000,""goBedTime"":1625899441000,""lightSleepTime"":272,""sleepEfficiency"":5,""sleepLatency"":7459000,""sleepScore"":76,""snoreFreq"":9,""validData"":80.66,""wakeupCnt"":3,""wakeupTime"":1625934780000}","""	-0500""",9
20210714 13:52:39,"{""allSleepTime"":539,""awakeTime"":5,""daySleepTime"":66,""deepSleepPart"":62,""deepSleepTime"":148,""dreamTime"":103,""fallAsleepTime"":1625994720000,""goBedTime"":1625987521000,""lightSleepTime"":288,""sleepEfficiency"":6,""sleepLatency"":7592000,""sleepScore"":80,""snoreFreq"":1,""validData"":84.08,""wakeupCnt"":1,""wakeupTime"":1626027360000}","""	-0500""",9
20210714 13:52:40,"{""allSleepTime"":566,""awakeTime"":20,""daySleepTime"":77,""deepSleepPart"":63,""deepSleepTime"":174,""dreamTime"":45,""fallAsleepTime"":1626078840000,""goBedTime"":1626071656000,""lightSleepTime"":347,""sleepEfficiency"":7,""sleepLatency"":7456000,""sleepScore"":77,""snoreFreq"":1,""validData"":84.52,""wakeupCnt"":1,""wakeupTime"":1626114000000}","""	-0500""",9
20210714 13:52:40,"{""allSleepTime"":371,""awakeTime"":15,""daySleepTime"":74,""deepSleepPart"":60,""deepSleepTime"":110,""dreamTime"":79,""fallAsleepTime"":1626166560000,""goBedTime"":1626159464000,""lightSleepTime"":182,""sleepEfficiency"":4,""sleepLatency"":7757000,""sleepScore"":78,""snoreFreq"":1,""validData"":82.38,""wakeupCnt"":2,""wakeupTime"":1626189720000}","""	-0500""",9
