recordDay,timeZone,sportType,sportBasicInfoData
20211002,"""	-0500""",4,"{""duration"":21,""altitude"":0.0,""distance"":3111,""calorie"":193177,""count"":0,""floor"":0,""steps"":3388}"
20211002,"""	-0500""",5,"{""duration"":78,""altitude"":0.0,""distance"":2454,""calorie"":133521,""count"":0,""floor"":0,""steps"":3384}"
20211003,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":310,""calorie"":5371,""count"":0,""floor"":0,""steps"":524}"
20211004,"""	-0500""",5,"{""duration"":38,""altitude"":0.0,""distance"":1308,""calorie"":48758,""count"":0,""floor"":0,""steps"":1865}"
20211005,"""	-0500""",5,"{""duration"":36,""altitude"":0.0,""distance"":827,""calorie"":30046,""count"":0,""floor"":0,""steps"":1257}"
20211006,"""	-0500""",5,"{""duration"":14,""altitude"":0.0,""distance"":112,""calorie"":2407,""count"":0,""floor"":0,""steps"":191}"
20211007,"""	-0500""",5,"{""duration"":16,""altitude"":0.0,""distance"":161,""calorie"":3013,""count"":0,""floor"":0,""steps"":273}"
20211008,"""	-0500""",5,"{""duration"":24,""altitude"":0.0,""distance"":476,""calorie"":15061,""count"":0,""floor"":0,""steps"":722}"
20211009,"""	-0500""",5,"{""duration"":32,""altitude"":0.0,""distance"":707,""calorie"":24112,""count"":0,""floor"":0,""steps"":1051}"
20211010,"""	-0500""",4,"{""duration"":15,""altitude"":0.0,""distance"":2185,""calorie"":130000,""count"":0,""floor"":0,""steps"":2343}"
20211010,"""	-0500""",5,"{""duration"":80,""altitude"":0.0,""distance"":2201,""calorie"":213010,""count"":0,""floor"":0,""steps"":3408}"
20211011,"""	-0500""",5,"{""duration"":25,""altitude"":0.0,""distance"":277,""calorie"":6632,""count"":0,""floor"":0,""steps"":500}"
20211012,"""	-0500""",5,"{""duration"":63,""altitude"":0.0,""distance"":1284,""calorie"":41174,""count"":0,""floor"":0,""steps"":1964}"
20211013,"""	-0500""",5,"{""duration"":44,""altitude"":0.0,""distance"":1188,""calorie"":44475,""count"":0,""floor"":0,""steps"":1748}"
20211014,"""	-0500""",5,"{""duration"":164,""altitude"":0.0,""distance"":6697,""calorie"":290777,""count"":0,""floor"":0,""steps"":9882}"
20211015,"""	-0500""",5,"{""duration"":39,""altitude"":0.0,""distance"":406,""calorie"":12381,""count"":0,""floor"":0,""steps"":693}"
20211016,"""	-0500""",5,"{""duration"":161,""altitude"":0.0,""distance"":5530,""calorie"":219075,""count"":0,""floor"":0,""steps"":8540}"
20211017,"""	-0500""",5,"{""duration"":112,""altitude"":0.0,""distance"":3155,""calorie"":123488,""count"":0,""floor"":0,""steps"":5489}"
20211018,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":2977,""calorie"":195352,""count"":0,""floor"":0,""steps"":3209}"
20211018,"""	-0500""",5,"{""duration"":127,""altitude"":0.0,""distance"":4970,""calorie"":346805,""count"":0,""floor"":0,""steps"":7014}"
20211019,"""	-0500""",5,"{""duration"":18,""altitude"":0.0,""distance"":229,""calorie"":4400,""count"":0,""floor"":0,""steps"":384}"
20211020,"""	-0500""",5,"{""duration"":27,""altitude"":0.0,""distance"":343,""calorie"":10509,""count"":0,""floor"":0,""steps"":563}"
